name,url,phone,category,latitude,longitude,Address,City,Pincode
Hong Kong Chinese Restaurant,https://m.yelp.com/biz/hong-kong-chinese-restaurant-kennesaw?adjust_creative=xLeatpCzSpwLHXalsdraIg&utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=xLeatpCzSpwLHXalsdraIg,+1-770-517-3880,Chinese; chinese; ,34.055606842041,-84.5542068481445,4290 Bells Ferry Rd NW, Kennesaw, GA 30144
Waffle House #981,https://m.yelp.com/biz/waffle-house-981-kennesaw-2?adjust_creative=xLeatpCzSpwLHXalsdraIg&utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=xLeatpCzSpwLHXalsdraIg,+1-770-928-3375,Diners; diners; Breakfast & Brunch; breakfast_brunch; American (Traditional); tradamerican; ,34.0548138,-84.5556779,4284 Bells Ferry Rd, Kennesaw, GA 30144
Arby's,https://m.yelp.com/biz/arbys-kennesaw-3?adjust_creative=xLeatpCzSpwLHXalsdraIg&utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=xLeatpCzSpwLHXalsdraIg,+1-770-591-4612,Fast Food; hotdogs; Sandwiches; sandwiches; ,34.0552,-84.55583,4288 Bells Ferry Rd NW, Kennesaw, GA 30144
Pizza Hut,https://m.yelp.com/biz/pizza-hut-kennesaw-5?adjust_creative=xLeatpCzSpwLHXalsdraIg&utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=xLeatpCzSpwLHXalsdraIg,+1-770-928-9967,Pizza; pizza; Italian; italian; Chicken Wings; chicken_wings; ,34.0541787202517,-84.5570221658916,4221 Bells Ferry Dr.  #103, Kennesaw, GA 30144
Roswell City Walk,https://m.yelp.com/biz/roswell-city-walk-roswell?adjust_creative=xLeatpCzSpwLHXalsdraIg&utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=xLeatpCzSpwLHXalsdraIg,+1-866-873-2015,Apartments; apartments; ,34.0500167,-84.4187676,3000 Forrest Walk, Roswell, GA 30075
Thai Emerald,https://m.yelp.com/biz/thai-emerald-roswell?adjust_creative=xLeatpCzSpwLHXalsdraIg&utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=xLeatpCzSpwLHXalsdraIg,+1-770-552-6700,Thai; thai; ,34.05582,-84.37843,540 W Crossville Rd, Roswell, GA 30075
Sweet Potato,https://m.yelp.com/biz/sweet-potato-roswell?adjust_creative=xLeatpCzSpwLHXalsdraIg&utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=xLeatpCzSpwLHXalsdraIg,+1-678-585-9768,American (Traditional); tradamerican; Buffets; buffets; ,34.0496826171875,-84.3386077880859,11070 Alpharetta Hwy, Roswell, GA 30076
Tanaka Japanese Restaurant,https://m.yelp.com/biz/tanaka-japanese-restaurant-roswell?adjust_creative=xLeatpCzSpwLHXalsdraIg&utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=xLeatpCzSpwLHXalsdraIg,+1-770-740-1488,Japanese; japanese; Sushi Bars; sushi; ,34.0543838873809,-84.329252243042,11235 Alpharetta Hwy, Roswell, GA 30076
Ibiza Tapas & Grill,https://m.yelp.com/biz/ibiza-tapas-and-grill-roswell?adjust_creative=xLeatpCzSpwLHXalsdraIg&utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=xLeatpCzSpwLHXalsdraIg,+1-770-772-4422,Mediterranean; mediterranean; Middle Eastern; mideastern; Tapas/Small Plates; tapasmallplates; ,34.054344,-84.328995,11235 Alpharetta Hwy, Roswell, GA 30076
Taqueria Hot Wings,https://m.yelp.com/biz/taqueria-hot-wings-roswell?adjust_creative=xLeatpCzSpwLHXalsdraIg&utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=xLeatpCzSpwLHXalsdraIg,+1-770-475-8350,Mexican; mexican; ,34.0544701,-84.3303909,11240 Alpharetta Hwy, Roswell, GA 30076
American Girl  Atlanta,https://m.yelp.com/biz/american-girl-atlanta-alpharetta?adjust_creative=xLeatpCzSpwLHXalsdraIg&utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=xLeatpCzSpwLHXalsdraIg,+1-877-247-5223,Toy Stores; toys; American (Traditional); tradamerican; ,34.0491498046395,-84.2936506734718,1201 North Point Cir, Alpharetta, GA 30022
Tom + Chee - Alpharetta,https://m.yelp.com/biz/tom-chee-alpharetta-alpharetta-3?adjust_creative=xLeatpCzSpwLHXalsdraIg&utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=xLeatpCzSpwLHXalsdraIg,+1-470-375-5871,Soup; soup; Sandwiches; sandwiches; ,34.0500793457031,-84.2843704223633,970 Northpoint Dr, Alpharetta, GA 30022
Spice Brick Oven Kitchen,https://m.yelp.com/biz/spice-brick-oven-kitchen-alpharetta?adjust_creative=xLeatpCzSpwLHXalsdraIg&utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=xLeatpCzSpwLHXalsdraIg,+1-770-777-0778,Pizza; pizza; Tapas Bars; tapas; ,34.0490276146771,-84.2871960993709,10800 Haynes Bridge Rd, Alpharetta, GA 30022
Chicken Salad Chick,https://m.yelp.com/biz/chicken-salad-chick-alpharetta?adjust_creative=xLeatpCzSpwLHXalsdraIg&utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=xLeatpCzSpwLHXalsdraIg,+1-770-667-5459,Salad; salad; Delis; delis; Sandwiches; sandwiches; ,34.0499974,-84.2842098,970 North Point Drive, Alpharetta, GA 30022
Lobster House Sushi & Hibachi,https://m.yelp.com/biz/lobster-house-sushi-and-hibachi-alpharetta?adjust_creative=xLeatpCzSpwLHXalsdraIg&utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=xLeatpCzSpwLHXalsdraIg,+1-770-475-0333,Japanese; japanese; Buffets; buffets; Sushi Bars; sushi; ,34.0504302978516,-84.286750793457,10890 Haynes Bridge Rd, Alpharetta, GA 30022
Sweet Tomatoes,https://m.yelp.com/biz/sweet-tomatoes-alpharetta?adjust_creative=xLeatpCzSpwLHXalsdraIg&utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=xLeatpCzSpwLHXalsdraIg,+1-770-777-9500,Buffets; buffets; Vegetarian; vegetarian; Salad; salad; ,34.05023,-84.28328,950 North Point Drive, Alpharetta, GA 30005
Corner Bakery Cafe,https://m.yelp.com/biz/corner-bakery-cafe-alpharetta?adjust_creative=xLeatpCzSpwLHXalsdraIg&utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=xLeatpCzSpwLHXalsdraIg,+1-678-317-0224,Cafes; cafes; ,34.0521327575794,-84.2862517238731,10920 Haynes Bridge Rd, Alpharetta, GA 30022
Pollo Tropical,https://m.yelp.com/biz/pollo-tropical-alpharetta?adjust_creative=xLeatpCzSpwLHXalsdraIg&utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=xLeatpCzSpwLHXalsdraIg,+1-770-475-1426,Caribbean; caribbean; Fast Food; hotdogs; ,34.050441,-84.2862085,10900 Haynes Bridge Rd, Alpharetta, GA 30022
Chipotle Mexican Grill,https://m.yelp.com/biz/chipotle-mexican-grill-alpharetta-2?adjust_creative=xLeatpCzSpwLHXalsdraIg&utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=xLeatpCzSpwLHXalsdraIg,+1-678-893-0236,Mexican; mexican; Fast Food; hotdogs; ,34.052009,-84.286354,10910 Haynes Bridge Rd, Alpharetta, GA 30022
Taco Bell,https://m.yelp.com/biz/taco-bell-alpharetta-2?adjust_creative=xLeatpCzSpwLHXalsdraIg&utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=xLeatpCzSpwLHXalsdraIg,+1-770-751-1160,Mexican; mexican; Tex-Mex; tex-mex; Fast Food; hotdogs; ,34.049806,-84.286948,10850 Haynes Bridge Road, Alpharetta, GA 30022
Chuck E. Cheese's,https://m.yelp.com/biz/chuck-e-cheeses-alpharetta?adjust_creative=xLeatpCzSpwLHXalsdraIg&utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=xLeatpCzSpwLHXalsdraIg,+1-678-893-0171,Pizza; pizza; Party & Event Planning; eventplanning; ,34.0517568542619,-84.281709334556,925 N Point Dr, Alpharetta, GA 30004
Pasta Vino,https://m.yelp.com/biz/pasta-vino-johns-creek?adjust_creative=xLeatpCzSpwLHXalsdraIg&utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=xLeatpCzSpwLHXalsdraIg,+1-770-777-1213,Italian; italian; ,34.056087,-84.229385,11130 State Bridge Rd, Johns Creek, GA 30022
Sally's Gluten Free Bakery,https://m.yelp.com/biz/sallys-gluten-free-bakery-alpharetta-2?adjust_creative=xLeatpCzSpwLHXalsdraIg&utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=xLeatpCzSpwLHXalsdraIg,+1-470-226-7965,Bakeries; bakeries; Gluten-Free; gluten_free; ,34.0550954204,-84.23240904732,4390 Kimball Bridge Road, Alpharetta, GA 30022
Chennai Express,https://m.yelp.com/biz/chennai-express-alpharetta-6?adjust_creative=xLeatpCzSpwLHXalsdraIg&utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=xLeatpCzSpwLHXalsdraIg,+1-678-400-6480,Indian; indpak; Vegetarian; vegetarian; ,34.050765,-84.223938,11105 State Bridge Rd, Alpharetta, GA 30022
Dee Thai Restaurant,https://m.yelp.com/biz/dee-thai-restaurant-alpharetta?adjust_creative=xLeatpCzSpwLHXalsdraIg&utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=xLeatpCzSpwLHXalsdraIg,+1-770-754-6222,Thai; thai; ,34.04924,-84.22328,10945 State Bridge Rd, Alpharetta, GA 30022
McDonald's,https://m.yelp.com/biz/mcdonalds-alpharetta-9?adjust_creative=xLeatpCzSpwLHXalsdraIg&utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=xLeatpCzSpwLHXalsdraIg,+1-770-667-1113,Fast Food; hotdogs; Burgers; burgers; ,34.0493011,-84.2245865,10975 State Bridge Rd, Alpharetta, GA 30022
Subway,https://m.yelp.com/biz/subway-alpharetta-10?adjust_creative=xLeatpCzSpwLHXalsdraIg&utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=xLeatpCzSpwLHXalsdraIg,+1-770-667-0770,Sandwiches; sandwiches; Fast Food; hotdogs; ,34.0492401123047,-84.2231674194336,10945 State Bridge Rd, Alpharetta, GA 30022
Burger King,https://m.yelp.com/biz/burger-king-acworth-2?adjust_creative=xLeatpCzSpwLHXalsdraIg&utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=xLeatpCzSpwLHXalsdraIg,+1-770-966-1999,Fast Food; hotdogs; ,34.0447998046875,-84.6958694458008,3630 Cobb Pkwy NW, Acworth, GA 30101
Capo's NY Pizza & Italian Restaurant,https://m.yelp.com/biz/capos-ny-pizza-and-italian-restaurant-acworth?adjust_creative=xLeatpCzSpwLHXalsdraIg&utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=xLeatpCzSpwLHXalsdraIg,+1-770-966-7770,Pizza; pizza; Italian; italian; ,34.0391960144043,-84.6898345947266,3450 Cobb Pkwy NW, Acworth, GA 30101
Bar-B-Cutie,https://m.yelp.com/biz/bar-b-cutie-acworth?adjust_creative=xLeatpCzSpwLHXalsdraIg&utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=xLeatpCzSpwLHXalsdraIg,+1-770-917-8436,Barbeque; bbq; ,34.0399093,-84.6909159,3466 Cobb Pkwy NW, Acworth, GA 30101
Tokyo Japanese Steakhouse,https://m.yelp.com/biz/tokyo-japanese-steakhouse-acworth?adjust_creative=xLeatpCzSpwLHXalsdraIg&utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=xLeatpCzSpwLHXalsdraIg,+1-770-975-1818,Sushi Bars; sushi; Japanese; japanese; ,34.0391960144043,-84.6898345947266,3450 Cobb Pkwy NW, Acworth, GA 30101
Five Guys Burgers and Fries,https://m.yelp.com/biz/five-guys-burgers-and-fries-acworth-2?adjust_creative=xLeatpCzSpwLHXalsdraIg&utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=xLeatpCzSpwLHXalsdraIg,+1-770-529-7188,Burgers; burgers; Fast Food; hotdogs; Sandwiches; sandwiches; ,34.0392753,-84.6896682,3450 Cobb Pkwy NW, Acworth, GA 30101
Jimmy John's,https://m.yelp.com/biz/jimmy-johns-acworth?adjust_creative=xLeatpCzSpwLHXalsdraIg&utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=xLeatpCzSpwLHXalsdraIg,+1-678-501-6012,Sandwiches; sandwiches; ,34.0393648,-84.6899605,3450 N Cobb Pkwy NW, Acworth, GA 30101
Sidelines Grille,https://m.yelp.com/biz/sidelines-grille-acworth?adjust_creative=xLeatpCzSpwLHXalsdraIg&utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=xLeatpCzSpwLHXalsdraIg,+1-770-966-0080,Sports Bars; sportsbars; ,34.0399055480957,-84.6909255981445,3466 Cobb Pkwy NW, Acworth, GA 30101
NCG Acworth Cinemas,https://m.yelp.com/biz/ncg-acworth-cinemas-acworth?adjust_creative=xLeatpCzSpwLHXalsdraIg&utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=xLeatpCzSpwLHXalsdraIg,+1-678-384-5717,Cinema; movietheaters; ,34.0391291111253,-84.6770762233726,4421 Cinema Dr, Acworth, GA 30101
Lucky China,https://m.yelp.com/biz/lucky-china-kennesaw?adjust_creative=xLeatpCzSpwLHXalsdraIg&utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=xLeatpCzSpwLHXalsdraIg,+1-770-428-7773,Chinese; chinese; ,34.0419118069355,-84.6017217809509,3600 Cherokee St NW, Kennesaw, GA 30144
Pizza Hut,https://m.yelp.com/biz/pizza-hut-kennesaw-2?adjust_creative=xLeatpCzSpwLHXalsdraIg&utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=xLeatpCzSpwLHXalsdraIg,+1-770-427-6900,Pizza; pizza; Italian; italian; Chicken Wings; chicken_wings; ,34.0417823791504,-84.6021270751953,3600 Cherokee St  #101, Kennesaw, GA 30144
The Commons Student Culinary Center,https://m.yelp.com/biz/the-commons-student-culinary-center-kennesaw?adjust_creative=xLeatpCzSpwLHXalsdraIg&utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=xLeatpCzSpwLHXalsdraIg,no phone,Cafeteria; cafeteria; ,34.0400210321692,-84.5828291238218,no address, Kennesaw, GA 30144
Ruth's Chris Steak House- Kennesaw,https://m.yelp.com/biz/ruths-chris-steak-house-kennesaw-kennesaw?adjust_creative=xLeatpCzSpwLHXalsdraIg&utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=xLeatpCzSpwLHXalsdraIg,+1-770-420-1985,Steakhouses; steak; Seafood; seafood; Cocktail Bars; cocktailbars; ,34.03807,-84.56937,620 Chastain Rd NW, Kennesaw, GA 30144
Townpark Cafe,https://m.yelp.com/biz/townpark-cafe-kennesaw?adjust_creative=xLeatpCzSpwLHXalsdraIg&utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=xLeatpCzSpwLHXalsdraIg,no phone,Cafes; cafes; ,34.0390281677246,-84.5691146850586,600 Townpark Ln NW, Kennesaw, GA 30144
Mr. Wonton,https://m.yelp.com/biz/mr-wonton-marietta?adjust_creative=xLeatpCzSpwLHXalsdraIg&utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=xLeatpCzSpwLHXalsdraIg,+1-770-591-4288,Chinese; chinese; ,34.038929,-84.5302505,3595 Canton Rd, Marietta, GA 30066
Brewsters,https://m.yelp.com/biz/brewsters-marietta?adjust_creative=xLeatpCzSpwLHXalsdraIg&utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=xLeatpCzSpwLHXalsdraIg,+1-770-591-1291,Bars; bars; American (Traditional); tradamerican; ,34.038929,-84.5302505,3595 Canton Rd, Marietta, GA 30066
Domino's Pizza,https://m.yelp.com/biz/dominos-pizza-marietta-6?adjust_creative=xLeatpCzSpwLHXalsdraIg&utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=xLeatpCzSpwLHXalsdraIg,+1-770-926-0080,Chicken Wings; chicken_wings; Pizza; pizza; Sandwiches; sandwiches; ,34.0379791,-84.5286102,3545 Canton Rd, Marietta, GA 30066
Moxie Burger,https://m.yelp.com/biz/moxie-burger-marietta-3?adjust_creative=xLeatpCzSpwLHXalsdraIg&utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=xLeatpCzSpwLHXalsdraIg,+1-678-398-9819,Salad; salad; Burgers; burgers; Sandwiches; sandwiches; ,34.04294,-84.4804,2421 Shallowford Rd, Marietta, GA 30066
Mellow Mushroom,https://m.yelp.com/biz/mellow-mushroom-marietta-3?adjust_creative=xLeatpCzSpwLHXalsdraIg&utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=xLeatpCzSpwLHXalsdraIg,+1-770-516-1500,Pizza; pizza; Bars; bars; Sandwiches; sandwiches; ,34.0426729296351,-84.4801093949114,2421 Shallowford Rd, Marietta, GA 30066
Catering Cajun,https://m.yelp.com/biz/catering-cajun-marietta?adjust_creative=xLeatpCzSpwLHXalsdraIg&utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=xLeatpCzSpwLHXalsdraIg,+1-678-996-0919,Cajun/Creole; cajun; ,34.0416406095028,-84.4804430007935,2409 Shallowford Rd, Marietta, GA 30066
Domino's Pizza,https://m.yelp.com/biz/dominos-pizza-marietta-9?adjust_creative=xLeatpCzSpwLHXalsdraIg&utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=xLeatpCzSpwLHXalsdraIg,+1-770-928-2299,Pizza; pizza; Chicken Wings; chicken_wings; Sandwiches; sandwiches; ,34.0427409488423,-84.4822414303454,2323 Shallowford Rd, Marietta, GA 30066
China Dynasty Restaurant,https://m.yelp.com/biz/china-dynasty-restaurant-marietta?adjust_creative=xLeatpCzSpwLHXalsdraIg&utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=xLeatpCzSpwLHXalsdraIg,+1-770-578-9668,Chinese; chinese; ,34.0381278991699,-84.4628219604492,3605 Sandy Plains Rd, Marietta, GA 30066
Paradise South of the Border,https://m.yelp.com/biz/paradise-south-of-the-border-marietta-2?adjust_creative=xLeatpCzSpwLHXalsdraIg&utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=xLeatpCzSpwLHXalsdraIg,+1-770-790-5475,Mexican; mexican; ,34.0381278991699,-84.4628219604492,3605 Sandy Plains Rd, Marietta, GA 30066
College Hunks Hauling Junk and Moving,https://m.yelp.com/biz/college-hunks-hauling-junk-and-moving-norcross?adjust_creative=xLeatpCzSpwLHXalsdraIg&utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=xLeatpCzSpwLHXalsdraIg,+1-404-996-1800,Junk Removal & Hauling; junkremovalandhauling; Movers; movers; Recycling Center; recyclingcenter; ,33.9398612976074,-84.2531127929688,6670 Corners Industrial Ct, Norcross, GA 30092
YourMechanic,https://m.yelp.com/biz/yourmechanic-atlanta?adjust_creative=xLeatpCzSpwLHXalsdraIg&utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=xLeatpCzSpwLHXalsdraIg,+1-888-976-7126,Auto Repair; autorepair; Oil Change Stations; oilchange; ,33.815553670247,-84.3527830739746,no address, Atlanta, GA 30324
Panda Cafe,https://m.yelp.com/biz/panda-cafe-roswell?adjust_creative=xLeatpCzSpwLHXalsdraIg&utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=xLeatpCzSpwLHXalsdraIg,+1-678-795-0438,Chinese; chinese; ,34.0378868579865,-84.3456874787807,580 E Crossville Rd, Roswell, GA 30075
Brick House Pizza & Pasta,https://m.yelp.com/biz/brick-house-pizza-and-pasta-roswell?adjust_creative=xLeatpCzSpwLHXalsdraIg&utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=xLeatpCzSpwLHXalsdraIg,+1-770-640-0023,Italian; italian; Pizza; pizza; ,34.0385512612141,-84.3456244468689,Kroger Mansell Shopping Village, Roswell, GA 30076
Cici's Pizza,https://m.yelp.com/biz/cicis-pizza-roswell?adjust_creative=xLeatpCzSpwLHXalsdraIg&utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=xLeatpCzSpwLHXalsdraIg,+1-770-645-1550,Pizza; pizza; ,34.0388837182847,-84.3445420526745,10516 Alpharetta Hwy, Roswell, GA 30076
Subway,https://m.yelp.com/biz/subway-roswell-3?adjust_creative=xLeatpCzSpwLHXalsdraIg&utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=xLeatpCzSpwLHXalsdraIg,+1-770-518-1485,Sandwiches; sandwiches; Fast Food; hotdogs; ,34.0378868579865,-84.3456874787807,580 E Crossville Rd, Roswell, GA 30075
Bombay Brasserie,https://m.yelp.com/biz/bombay-brasserie-roswell-2?adjust_creative=xLeatpCzSpwLHXalsdraIg&utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=xLeatpCzSpwLHXalsdraIg,+1-770-299-1634,Indian; indpak; Buffets; buffets; Tapas/Small Plates; tapasmallplates; ,34.0440114508133,-84.3390236841309,900 Mansell Rd, Roswell, GA 30076
Athens Greek Restaurant,https://m.yelp.com/biz/athens-greek-restaurant-roswell?adjust_creative=xLeatpCzSpwLHXalsdraIg&utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=xLeatpCzSpwLHXalsdraIg,+1-770-552-8599,Greek; greek; Mediterranean; mediterranean; ,34.0412290023709,-84.3410034611164,10753 Alpharetta Hwy, Roswell, GA 30076
The Counter Roswell,https://m.yelp.com/biz/the-counter-roswell-roswell?adjust_creative=xLeatpCzSpwLHXalsdraIg&utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=xLeatpCzSpwLHXalsdraIg,+1-678-461-9661,Burgers; burgers; ,34.043103,-84.3390567,850 Mansell Rd, Roswell, GA 30076
J Buffalo Wings,https://m.yelp.com/biz/j-buffalo-wings-roswell?adjust_creative=xLeatpCzSpwLHXalsdraIg&utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=xLeatpCzSpwLHXalsdraIg,+1-678-795-0288,Chicken Wings; chicken_wings; Cheesesteaks; cheesesteaks; American (Traditional); tradamerican; ,34.0424274609229,-84.3398308753967,10779 Alpharetta Hwy, Roswell, GA 30076
The Flying Biscuit Cafe,https://m.yelp.com/biz/the-flying-biscuit-cafe-roswell?adjust_creative=xLeatpCzSpwLHXalsdraIg&utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=xLeatpCzSpwLHXalsdraIg,+1-770-594-9522,Breakfast & Brunch; breakfast_brunch; ,34.0426582,-84.3411661,10779 Alpharetta Hwy, Roswell, GA 30076
LongHorn Steakhouse,https://m.yelp.com/biz/longhorn-steakhouse-roswell-2?adjust_creative=xLeatpCzSpwLHXalsdraIg&utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=xLeatpCzSpwLHXalsdraIg,+1-770-642-8588,Steakhouses; steak; American (Traditional); tradamerican; Barbeque; bbq; ,34.0430957761681,-84.3379722581971,900 Mansell Rd, Roswell, GA 30076
Barberitos,https://m.yelp.com/biz/barberitos-roswell?adjust_creative=xLeatpCzSpwLHXalsdraIg&utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=xLeatpCzSpwLHXalsdraIg,+1-678-460-7373,Tex-Mex; tex-mex; Mexican; mexican; ,34.0426582,-84.3411661,10779 Alpharetta Hwy, Roswell, GA 30076
Jimmy John's,https://m.yelp.com/biz/jimmy-johns-roswell?adjust_creative=xLeatpCzSpwLHXalsdraIg&utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=xLeatpCzSpwLHXalsdraIg,+1-770-998-0100,Sandwiches; sandwiches; ,34.0423,-84.33838,875 Mansell Rd, Roswell, GA 30076
